Date,Indonesia,Australia,Brazil,India,Austria,South Africa,Belgium,Chile,China,OECD,Colombia,Costa Rica,Czechia,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Israel,Italy,Japan,Korea,Lithuania,Mexico,Netherlands,Latvia,Poland,Slovak Rep.,Slovenia,New Zealand,Sweden,Luxembourg,Spain,Türkiye,United States,Portugal,United Kingdom,Switzerland,Russia
2020-01-01,101.206,99.32102,100.4161,100.3378,100.8151,99.24615,99.9514,96.8633,103.8656,100.7386,98.20472,98.10513,102.6788,100.8147,103.6093,99.22471,100.0647,100.9668,103.1353,102.478,101.4358,101.5913,100.5658,99.1144,99.98412,102.6126,102.2028,100.0352,102.5306,101.7914,102.3787,102.2077,99.98196,99.54027,101.5092,100.6591,97.9148,101.5963,101.1588,100.8609,99.64938,100.4905
2020-02-01,100.7611,99.15056,99.61337,100.0527,100.4232,99.05338,99.83606,96.94473,103.2413,100.2612,97.34431,98.4447,102.1374,100.543,103.0439,98.75168,99.63367,100.5824,102.3902,102.0155,101.1586,100.5807,99.9308,98.35398,98.95938,101.8521,101.375,99.82196,101.7445,101.161,101.9741,101.3958,99.79594,99.42071,100.6445,100.1991,97.79484,101.1947,100.4143,100.5123,99.25188,99.98878
2020-03-01,99.99712,98.75497,98.19249,99.03537,99.64311,98.55794,99.35335,96.63969,102.7415,99.23766,95.91375,98.58547,101.241,99.98713,101.8555,97.99509,98.75721,99.77616,101.0898,101.118,99.98386,98.70241,98.91453,97.00095,97.53362,100.2361,99.30881,99.22577,100.0936,99.91983,100.7555,99.71366,99.54988,99.0905,99.01243,98.67162,97.76228,100.2586,98.89407,99.47202,98.33782,98.74014
2020-04-01,98.97733,98.34645,96.72215,96.93494,98.91465,97.64034,98.8798,96.00843,102.1067,98.14605,94.6406,98.52574,100.2252,99.54063,100.185,97.43758,97.93719,98.98714,99.84138,99.86872,98.3524,97.53073,98.4481,95.79509,96.66476,98.54866,96.30118,98.43556,98.18846,98.12434,98.80199,97.54153,99.27654,98.78253,97.42956,96.46239,97.79487,99.24043,97.11824,97.97098,97.31045,97.25233
2020-05-01,98.35859,98.46362,96.44836,94.51003,98.95717,96.60874,99.00598,95.32039,101.6501,97.81001,94.29171,98.21046,100.1773,99.72002,99.2824,97.97333,98.01742,98.89174,99.41509,99.47838,97.87286,97.66198,98.59888,95.57961,96.70325,98.55213,94.58016,98.27161,98.04963,97.64418,98.04941,96.84335,99.00736,98.85265,97.47523,95.57599,98.12645,98.7714,96.79456,97.23493,96.74292,96.21296
2020-06-01,98.25745,98.63459,97.1611,92.7999,99.35361,95.89043,99.2761,94.73296,101.4666,98.01489,94.4453,97.58496,100.4365,100.1282,98.67628,98.94392,98.61668,99.28805,99.53548,99.67771,98.17628,97.21532,99.28611,96.01692,97.14563,99.51797,94.43686,98.55359,98.83175,98.24424,98.22865,97.35547,98.77853,99.36156,98.18303,95.77538,98.29444,98.7247,97.22028,97.37011,97.08757,96.14293
2020-07-01,98.34606,98.56892,98.12325,92.62005,99.59711,95.83733,99.33849,94.57492,101.7425,98.28747,94.882,96.90414,100.5903,100.3095,99.04221,99.46641,99.07516,99.69151,99.59523,100.1177,98.54663,96.60634,99.74239,96.56197,97.5827,100.4579,95.32661,98.84819,99.57281,98.96073,98.78587,98.21556,98.63297,99.90094,98.4408,96.00481,98.21889,98.74093,97.58893,97.84993,97.92531,96.60137
2020-08-01,98.39808,98.64114,98.79943,93.34302,99.73283,96.21811,99.36143,94.9648,102.1517,98.53404,95.55976,96.5159,100.4753,100.2781,99.64659,99.29008,99.2412,99.97731,99.52808,100.4866,98.73026,96.57168,100.0144,97.02637,97.87202,101.1521,96.37875,99.00426,100.0923,99.11355,99.3644,98.85995,98.58191,100.3034,98.44624,96.05359,98.03449,98.93021,97.79408,98.05299,98.72948,97.02808
2020-09-01,98.37937,99.30191,99.17155,94.20498,99.73994,96.78228,99.6469,95.49464,102.711,98.74146,96.23417,96.69988,100.1529,100.2587,99.91798,98.9683,99.16676,100.0348,99.27857,100.6171,98.92999,96.64213,100.0636,97.43939,98.04411,101.5874,97.27135,99.10626,100.1002,98.84396,99.64416,98.85495,98.67033,100.5438,98.75935,96.18552,98.04346,99.22326,97.80287,97.88041,99.13667,97.05743
2020-10-01,98.44877,100.133,99.22639,94.70953,99.42998,97.39019,99.95972,95.95889,103.174,98.81765,96.82288,97.21364,99.56959,100.2693,99.64028,98.86539,98.83875,99.86606,99.09132,100.5434,99.35289,96.96348,99.7709,97.63764,98.58501,101.607,97.87703,99.24523,99.81755,98.50391,99.64449,98.44922,98.94785,100.5704,98.94881,96.38438,98.0106,99.36275,97.74838,97.5527,99.25096,96.86408
