Province,Books,,,,,
Adana,27571,,,,,
Adiyaman,37701,,,,,
Afyonkarahisar,59397,,,,,
Aksaray,16935,,,,,
Amasya,71270,,,,,
Ankara,274025,,,,,
Antalya,101178,,,,,
Ardahan,3246,,,,,
Artvin,17785,,,,,
Aydin,121038,,,,,
Agri,50730,,,,,
Balikesir,93341,,,,,
Bartin,20935,,,,,
Batman,30268,,,,,
Bayburt,1841,,,,,
Bilecik,29933,,,,,
Bingol,37685,,,,,
Bitlis,50425,,,,,
Bolu,13852,,,,,
Burdur,73081,,,,,
Bursa,67566,,,,,
Denizli,92194,,,,,
Diyarbakir,89675,,,,,
Duzce,35164,,,,,
Edirne,18262,,,,,
Elazig,38126,,,,,
Erzincan,38986,,,,,
Erzurum,63830,,,,,
Eskisehir,87673,,,,,
Gaziantep,38824,,,,,
Giresun,35338,,,,,
Gumushane,14100,,,,,
Hakkari,8739,,,,,
Hatay,36848,,,,,
Isparta,63107,,,,,
Igdir,32746,,,,,
Kahramanmaras,31698,,,,,
Karabuk,39813,,,,,
Karaman,48625,,,,,
Kars,37503,,,,,
Kastamonu,27684,,,,,
Kayseri,133427,,,,,
Kilis,21542,,,,,
Kocaeli,59333,,,,,
Konya,111281,,,,,
Kutahya,85617,,,,,
Kirklareli,37120,,,,,
Kirikkale,32466,,,,,
Kirsehir,44464,,,,,
Malatya,39414,,,,,
Manisa,162589,,,,,
Mardin,85872,,,,,
Mersin,81348,,,,,
Mugla,79599,,,,,
Mus,24551,,,,,
Nevsehir,66821,,,,,
Nigde,34991,,,,,
Ordu,89010,,,,,
Osmaniye,41497,,,,,
Rize,13873,,,,,
Sakarya,48649,,,,,
Samsun,89569,,,,,
Siirt,28416,,,,,
Sinop,43227,,,,,
Sivas,62424,,,,,
Tekirdag,53209,,,,,
Tokat,95179,,,,,
Trabzon,43548,,,,,
Tunceli,10073,,,,,
Usak,38578,,,,,
Van,221743,,,,,
Yalova,36342,,,,,
Yozgat,28262,,,,,
Zonguldak,31799,,,,,
Canakkale,51646,,,,,
Cankiri,26304,,,,,
Corum,76241,,,,,
Istanbul,224329,,,,,
Izmir,194272,,,,,
Sanliurfa,58524,,,,,
Sirnak,56368,,,,,
