Province,Population
Adana,2280484
Adiyaman,422995
Afyonkarahisar,463421
Aksaray,322969
Amasya,256783
Ankara,5864049
Antalya,2722103
Ardahan,40456
Artvin,108825
Aydin,1165943
Agri,308702
Balikesir,1276096
Bartin,101506
Batman,546532
Bayburt,53733
Bilecik,190879
Bingol,196149
Bitlis,238278
Bolu,240545
Burdur,194501
Bursa,3238618
Denizli,1061371
Diyarbakir,1833684
Duzce,287657
Edirne,322168
Elazig,476462
Erzincan,182455
Erzurum,745005
Eskisehir,921630
Gaziantep,2193363
Giresun,305725
Gumushane,84117
Hakkari,185769
Hatay,1562185
Isparta,335771
Igdir,121982
Kahramanmaras,1134105
Karabuk,192214
Karaman,201168
Kars,147325
Kastamonu,244426
Kayseri,1452458
Kilis,123603
Kocaeli,2130006
Konya,2330024
Kutahya,424087
Kirklareli,279700
Kirikkale,248685
Kirsehir,198579
Malatya,750491
Manisa,1475353
Mardin,895911
Mersin,1954279
Mugla,1081867
Mus,196715
Nevsehir,212945
Nigde,230830
Ordu,770711
Osmaniye,435532
Rize,229932
Sakarya,1110735
Samsun,1382376
Siirt,232621
Sinop,142489
Sivas,487239
Tekirdag,1187162
Tokat,403762
Trabzon,822270
Tunceli,57568
Usak,288037
Van,1118087
Yalova,223789
Yozgat,277885
Zonguldak,373803
Canakkale,352667
Cankiri,138627
Corum,395192
Istanbul,15701602
Izmir,4493242
Sanliurfa,2237745
Sirnak,386503
